,match_id,player,row,returnable,shallow,deep,very_deep,unforced,err_net,err_deep,err_wide,err_wide_deep,tourney_date,sm,tourney_name,sm2
0,19751219-M-Davis_Cup_World_Group_F-RR-Bjorn_Borg-Jiri_Hrebec,Bjorn Borg,Total,53,26,25,12,2,0,1,0,0,19751219,M,Davis_Cup_World_Group_F,RR
18,19751219-M-Davis_Cup_World_Group_F-RR-Bjorn_Borg-Jiri_Hrebec,Jiri Hrebec,Total,57,30,24,10,3,1,0,2,0,19751219,M,Davis_Cup_World_Group_F,RR
36,19780125-M-Pepsi_Grand_Slam-SF-Brian_Gottfried-Bjorn_Borg,Brian Gottfried,Total,41,8,30,16,3,3,0,0,0,19780125,M,Pepsi_Grand_Slam,SF
54,19780125-M-Pepsi_Grand_Slam-SF-Brian_Gottfried-Bjorn_Borg,Bjorn Borg,Total,47,25,21,9,1,0,1,0,0,19780125,M,Pepsi_Grand_Slam,SF
72,19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,John Mcenroe,Total,175,23,49,25,43,20,11,7,0,19800705,M,Wimbledon,F
90,19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,Bjorn Borg,Total,151,34,7,2,44,18,11,12,0,19800705,M,Wimbledon,F
108,19810607-M-Roland_Garros-F-Bjorn_Borg-Ivan_Lendl,Bjorn Borg,Total,64,18,45,5,1,0,1,0,0,19810607,M,Roland_Garros,F
125,19810607-M-Roland_Garros-F-Bjorn_Borg-Ivan_Lendl,Ivan Lendl,Total,59,13,46,5,0,0,0,0,0,19810607,M,Roland_Garros,F
143,19810704-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,John Mcenroe,Total,107,47,55,11,5,5,0,0,0,19810704,M,Wimbledon,F
161,19810704-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,Bjorn Borg,Total,94,59,31,1,4,1,1,2,0,19810704,M,Wimbledon,F
179,19810913-M-US_Open-F-John_Mcenroe-Bjorn_Borg,John Mcenroe,Total,84,28,53,7,3,1,1,1,0,19810913,M,US_Open,F
197,19810913-M-US_Open-F-John_Mcenroe-Bjorn_Borg,Bjorn Borg,Total,78,48,24,2,6,3,2,1,0,19810913,M,US_Open,F
214,19820912-M-US_Open-F-Jimmy_Connors-Ivan_Lendl,Jimmy Connors,Total,95,19,73,12,3,2,1,0,0,19820912,M,US_Open,F
232,19820912-M-US_Open-F-Jimmy_Connors-Ivan_Lendl,Ivan Lendl,Total,97,27,64,4,6,0,4,2,0,19820912,M,US_Open,F
250,19840506-M-Forest_Hills_WCT-F-John_Mcenroe-Ivan_Lendl,John Mcenroe,Total,44,8,34,11,2,1,1,0,0,19840506,M,Forest_Hills_WCT,F
268,19840506-M-Forest_Hills_WCT-F-John_Mcenroe-Ivan_Lendl,Ivan Lendl,Total,34,18,15,2,1,0,0,1,0,19840506,M,Forest_Hills_WCT,F
286,19840909-M-US_Open-F-John_Mcenroe-Ivan_Lendl,John Mcenroe,Total,69,27,40,3,2,0,2,0,0,19840909,M,US_Open,F
304,19840909-M-US_Open-F-John_Mcenroe-Ivan_Lendl,Ivan Lendl,Total,34,13,19,0,2,1,0,1,0,19840909,M,US_Open,F
321,19850707-M-Wimbledon-F-Boris_Becker-Kevin_Curren,Boris Becker,Total,86,32,41,2,13,5,7,1,0,19850707,M,Wimbledon,F
339,19850707-M-Wimbledon-F-Boris_Becker-Kevin_Curren,Kevin Curren,Total,66,41,24,0,1,1,0,0,0,19850707,M,Wimbledon,F
357,19850908-M-US_Open-F-John_Mcenroe-Ivan_Lendl,John Mcenroe,Total,61,17,38,6,6,3,3,0,0,19850908,M,US_Open,F
375,19850908-M-US_Open-F-John_Mcenroe-Ivan_Lendl,Ivan Lendl,Total,63,24,33,1,6,0,2,4,0,19850908,M,US_Open,F
393,19870901-M-US_Open-QF-John_Mcenroe-Ivan_Lendl,John Mcenroe,Total,44,14,29,9,1,1,0,0,0,19870901,M,US_Open,QF
411,19870901-M-US_Open-QF-John_Mcenroe-Ivan_Lendl,Ivan Lendl,Total,50,36,12,2,2,1,1,0,0,19870901,M,US_Open,QF
429,19880911-M-US_Open-F-Mats_Wilander-Ivan_Lendl,Mats Wilander,Total,123,19,101,14,3,3,0,0,0,19880911,M,US_Open,F
447,19880911-M-US_Open-F-Mats_Wilander-Ivan_Lendl,Ivan Lendl,Total,161,45,111,3,5,5,0,0,0,19880911,M,US_Open,F
465,19890709-M-Wimbledon-F-Boris_Becker-Stefan_Edberg,Boris Becker,Total,70,28,38,0,4,2,1,1,0,19890709,M,Wimbledon,F
483,19890709-M-Wimbledon-F-Boris_Becker-Stefan_Edberg,Stefan Edberg,Total,63,31,29,0,4,3,1,0,0,19890709,M,Wimbledon,F
501,19890910-M-US_Open-F-Boris_Becker-Ivan_Lendl,Boris Becker,Total,98,15,79,5,3,1,2,0,0,19890910,M,US_Open,F
518,19890910-M-US_Open-F-Boris_Becker-Ivan_Lendl,Ivan Lendl,Total,85,49,32,1,4,1,2,1,0,19890910,M,US_Open,F
536,19900128-M-Australian_Open-F-Ivan_Lendl-Stefan_Edberg,Ivan Lendl,Total,83,43,36,0,4,1,3,0,0,19900128,M,Australian_Open,F
