,match_id,player,row,pts,pts_won,returnable,returnable_won,in_play,in_play_won,winners,total_shots,tourney_date,sm,tourney_name,sm2
0,19751219-M-Davis_Cup_World_Group_F-RR-Bjorn_Borg-Jiri_Hrebec,Bjorn Borg,Total,63,36,53,34,51,34,0,299,19751219,M,Davis_Cup_World_Group_F,RR
21,19751219-M-Davis_Cup_World_Group_F-RR-Bjorn_Borg-Jiri_Hrebec,Jiri Hrebec,Total,69,23,57,22,54,22,1,329,19751219,M,Davis_Cup_World_Group_F,RR
42,19780125-M-Pepsi_Grand_Slam-SF-Brian_Gottfried-Bjorn_Borg,Brian Gottfried,Total,49,14,41,12,38,12,0,307,19780125,M,Pepsi_Grand_Slam,SF
63,19780125-M-Pepsi_Grand_Slam-SF-Brian_Gottfried-Bjorn_Borg,Bjorn Borg,Total,55,25,47,24,46,24,1,281,19780125,M,Pepsi_Grand_Slam,SF
84,19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,John Mcenroe,Total,196,65,175,57,132,57,7,623,19800705,M,Wimbledon,F
105,19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,Bjorn Borg,Total,180,61,151,58,107,58,16,396,19800705,M,Wimbledon,F
126,19810607-M-Roland_Garros-F-Bjorn_Borg-Ivan_Lendl,Bjorn Borg,Total,73,37,64,35,63,35,1,626,19810607,M,Roland_Garros,F
146,19810607-M-Roland_Garros-F-Bjorn_Borg-Ivan_Lendl,Ivan Lendl,Total,73,29,59,27,59,27,1,678,19810607,M,Roland_Garros,F
167,19810704-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,John Mcenroe,Total,139,49,107,46,102,46,3,531,19810704,M,Wimbledon,F
188,19810704-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,Bjorn Borg,Total,150,49,94,41,90,41,9,387,19810704,M,Wimbledon,F
209,19810913-M-US_Open-F-John_Mcenroe-Bjorn_Borg,John Mcenroe,Total,112,50,84,43,81,43,3,537,19810913,M,US_Open,F
230,19810913-M-US_Open-F-John_Mcenroe-Bjorn_Borg,Bjorn Borg,Total,113,42,78,35,72,35,7,344,19810913,M,US_Open,F
250,19820912-M-US_Open-F-Jimmy_Connors-Ivan_Lendl,Jimmy Connors,Total,127,59,95,56,92,56,1,659,19820912,M,US_Open,F
271,19820912-M-US_Open-F-Jimmy_Connors-Ivan_Lendl,Ivan Lendl,Total,114,41,97,39,91,39,1,615,19820912,M,US_Open,F
292,19840506-M-Forest_Hills_WCT-F-John_Mcenroe-Ivan_Lendl,John Mcenroe,Total,59,27,44,25,42,25,1,268,19840506,M,Forest_Hills_WCT,F
313,19840506-M-Forest_Hills_WCT-F-John_Mcenroe-Ivan_Lendl,Ivan Lendl,Total,55,19,34,14,33,14,3,201,19840506,M,Forest_Hills_WCT,F
