,match_id,player,row,crosscourt,down_middle,down_the_line,inside_out,inside_in,tourney_date,sm,tourney_name,sm2
0,19751219-M-Davis_Cup_World_Group_F-RR-Bjorn_Borg-Jiri_Hrebec,Bjorn Borg,Total,87,43,19,22,0,19751219,M,Davis_Cup_World_Group_F,RR
4,19751219-M-Davis_Cup_World_Group_F-RR-Bjorn_Borg-Jiri_Hrebec,Jiri Hrebec,Total,79,52,17,26,2,19751219,M,Davis_Cup_World_Group_F,RR
8,19780125-M-Pepsi_Grand_Slam-SF-Brian_Gottfried-Bjorn_Borg,Brian Gottfried,Total,88,33,20,13,0,19780125,M,Pepsi_Grand_Slam,SF
12,19780125-M-Pepsi_Grand_Slam-SF-Brian_Gottfried-Bjorn_Borg,Bjorn Borg,Total,132,45,19,10,2,19780125,M,Pepsi_Grand_Slam,SF
16,19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,John Mcenroe,Total,43,25,40,17,2,19800705,M,Wimbledon,F
20,19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,Bjorn Borg,Total,58,29,36,18,0,19800705,M,Wimbledon,F
24,19810607-M-Roland_Garros-F-Bjorn_Borg-Ivan_Lendl,Bjorn Borg,Total,256,152,43,49,10,19810607,M,Roland_Garros,F
28,19810607-M-Roland_Garros-F-Bjorn_Borg-Ivan_Lendl,Ivan Lendl,Total,279,139,34,59,9,19810607,M,Roland_Garros,F
32,19810704-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,John Mcenroe,Total,52,37,20,13,1,19810704,M,Wimbledon,F
36,19810704-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,Bjorn Borg,Total,66,48,30,24,3,19810704,M,Wimbledon,F
40,19810913-M-US_Open-F-John_Mcenroe-Bjorn_Borg,John Mcenroe,Total,96,69,21,9,0,19810913,M,US_Open,F
44,19810913-M-US_Open-F-John_Mcenroe-Bjorn_Borg,Bjorn Borg,Total,115,70,28,31,0,19810913,M,US_Open,F
48,19820912-M-US_Open-F-Jimmy_Connors-Ivan_Lendl,Jimmy Connors,Total,191,131,43,58,2,19820912,M,US_Open,F
52,19820912-M-US_Open-F-Jimmy_Connors-Ivan_Lendl,Ivan Lendl,Total,166,169,56,42,3,19820912,M,US_Open,F
56,19840506-M-Forest_Hills_WCT-F-John_Mcenroe-Ivan_Lendl,John Mcenroe,Total,46,42,19,12,0,19840506,M,Forest_Hills_WCT,F
