,index,Unnamed: 0,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,match_id,w_winners_fh,w_winners_bh,w_unforced_fh,w_unforced_bh,w_return_pts_faced,w_return_pts_won,w_return_depth_very_deep,w_return_depth_shallow,w_return_depth_deep,w_return_depth_err_net,w_return_depth_err_deep,w_return_depth_err_wide,w_return_depth_wide_deep,w_shot_Direction_crosscourt,w_shot_Direction_down_middle,w_shot_Direction_down_the_line,w_shot_Direction_inside_out,w_shot_Direction_inside_in,l_winners_fh,l_winners_bh,l_unforced_fh,l_unforced_bh,l_return_pts_faced,l_return_pts_won,l_return_depth_very_deep,l_return_depth_shallow,l_return_depth_deep,l_return_depth_err_net,l_return_depth_err_deep,l_return_depth_err_wide,l_return_depth_wide_deep,l_shot_Direction_crosscourt,l_shot_Direction_down_middle,l_shot_Direction_down_the_line,l_shot_Direction_inside_out,l_shot_Direction_inside_in,label
0,0,,,,,,,,,,,,Bob Bryan,,,,,,,,Pete Sampras,,,,,,,,,9.0,,,40.0,27.0,13.0,,,,6.0,,,26.0,24.0,14.0,,,,,,,,20000612-M-Queens_Club-QF-Bob_Bryan-Pete_Sampras,4.0,4.0,4.0,0.0,46.0,8.0,0.0,20.0,7.0,0.0,0.0,0.0,0.0,8,9,5,5,0,14.0,18.0,1.0,7.0,63.0,23.0,2.0,25.0,12.0,0.0,1.0,0.0,0.0,16.0,7.0,1.0,4.0,1.0,1.0
1,1,,,,,,,,,,,,Pete Sampras,,,,,,,,Marat Safin,,,,,,,,,8.0,,,51.0,38.0,11.0,,,,12.0,,,40.0,34.0,26.0,,,,,,,,20000910-M-US_Open-F-Pete_Sampras-Marat_Safin,12.0,8.0,9.0,12.0,81.0,21.0,6.0,7.0,48.0,1.0,2.0,0.0,0.0,54,27,8,8,6,12.0,13.0,5.0,5.0,78.0,29.0,0.0,14.0,27.0,0.0,1.0,0.0,0.0,86.0,34.0,19.0,10.0,0.0,1.0
2,2,,,,,,,,,,,,Marat Safin,,,,,,,,Andre Agassi,,,,,,,,,4.0,,,34.0,22.0,13.0,,,,5.0,,,38.0,31.0,15.0,,,,,,,,20001127-M-Tour_Finals-SF-Marat_Safin-Andre_Agassi,5.0,13.0,14.0,10.0,65.0,19.0,16.0,7.0,40.0,0.0,1.0,0.0,0.0,106,45,34,8,1,11.0,7.0,7.0,7.0,65.0,30.0,12.0,14.0,34.0,1.0,0.0,1.0,1.0,126.0,35.0,19.0,14.0,1.0,1.0
3,3,,,,,,,,,,,,Nicolas Lapentti,,,,,,,,Andre Agassi,,,,,,,,,3.0,,,18.0,9.0,9.0,,,,0.0,,,22.0,18.0,8.0,,,,,,,,20010312-M-Indian_Wells-QF-Nicolas_Lapentti-Andre_Agassi,4.0,1.0,7.0,10.0,37.0,11.0,6.0,13.0,13.0,1.0,1.0,0.0,0.0,46,47,18,20,5,8.0,3.0,7.0,2.0,47.0,29.0,10.0,11.0,23.0,0.0,1.0,0.0,0.0,65.0,32.0,12.0,20.0,1.0,1.0
4,4,,,,,,,,,,,,Pete Sampras,,,,,,,,Andy Roddick,,,,,,,,,8.0,,,42.0,30.0,11.0,,,,7.0,,,40.0,35.0,12.0,,,,,,,,20010319-M-Miami_Masters-R32-Pete_Sampras-Andy_Roddick,6.0,6.0,9.0,9.0,60.0,13.0,7.0,12.0,18.0,0.0,0.0,0.0,0.0,22,5,9,8,1,13.0,5.0,3.0,4.0,70.0,29.0,3.0,14.0,26.0,0.0,0.0,0.0,0.0,30.0,13.0,5.0,15.0,2.0,1.0
5,5,,,,,,,,,,,,Roger Federer,,,,,,,,Pete Sampras,,,,,,,,,25.0,,,113.0,93.0,35.0,,,,25.0,,,132.0,101.0,26.0,,,,,,,,20010702-M-Wimbledon-R16-Roger_Federer-Pete_Sampras,25.0,17.0,14.0,14.0,189.0,62.0,0.0,53.0,41.0,4.0,2.0,0.0,0.0,30,14,18,19,2,23.0,18.0,14.0,20.0,181.0,53.0,4.0,36.0,50.0,4.0,2.0,5.0,0.0,25.0,9.0,19.0,11.0,0.0,1.0
6,6,,,,,,,,,,,,Goran Ivanisevic,,,,,,,,Patrick Rafter,,,,,,,,,27.0,,,91.0,74.0,37.0,,,,13.0,,,89.0,69.0,28.0,,,,,,,,20010709-M-Wimbledon-F-Goran_Ivanisevic-Patrick_Rafter,25.0,17.0,10.0,11.0,140.0,43.0,3.0,43.0,35.0,3.0,1.0,1.0,0.0,22,5,9,5,2,26.0,23.0,7.0,6.0,164.0,53.0,0.0,37.0,37.0,1.0,1.0,3.0,0.0,9.0,3.0,8.0,5.0,1.0,1.0
7,7,,,,,,,,,,,,Pete Sampras,,,,,,,,Lleyton Hewitt,,,,,,,,,11.0,,,59.0,37.0,17.0,,,,7.0,,,49.0,41.0,14.0,,,,,,,,20010909-M-US_Open-F-Pete_Sampras-Lleyton_Hewitt,9.0,11.0,14.0,13.0,77.0,22.0,6.0,4.0,43.0,1.0,1.0,0.0,0.0,45,26,14,6,4,13.0,14.0,4.0,8.0,99.0,45.0,1.0,30.0,29.0,2.0,0.0,0.0,0.0,66.0,28.0,9.0,30.0,3.0,1.0
8,8,,,,,,,,,,,,Patrick Rafter,,,,,,,,Andre Agassi,,,,,,,,,5.0,,,37.0,20.0,11.0,,,,0.0,,,28.0,18.0,14.0,,,,,,,,20011112-M-Masters_Cup-RR-Patrick_Rafter-Andre_Agassi,15.0,4.0,6.0,4.0,50.0,18.0,12.0,15.0,29.0,1.0,0.0,0.0,0.0,39,11,5,2,1,14.0,10.0,6.0,9.0,66.0,35.0,1.0,39.0,4.0,0.0,1.0,0.0,0.0,53.0,12.0,25.0,14.0,7.0,1.0
9,9,,,,,,,,,,,,Pete Sampras,,,,,,,,Andre Agassi,,,,,,,,,11.0,,,36.0,31.0,15.0,,,,4.0,,,28.0,19.0,11.0,,,,,,,,20020428-M-Houston-SF-Pete_Sampras-Andre_Agassi,9.0,4.0,6.0,7.0,53.0,23.0,8.0,10.0,25.0,0.0,1.0,0.0,0.0,49,12,8,8,4,5.0,6.0,10.0,10.0,67.0,21.0,7.0,17.0,16.0,3.0,1.0,1.0,0.0,52.0,13.0,16.0,12.0,1.0,1.0
