,index,Unnamed: 0,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,match_id,w_winners_fh,w_winners_bh,w_unforced_fh,w_unforced_bh,w_return_pts_faced,w_return_pts_won,w_return_depth_very_deep,w_return_depth_shallow,w_return_depth_deep,w_return_depth_err_net,w_return_depth_err_deep,w_return_depth_err_wide,w_return_depth_wide_deep,w_shot_Direction_crosscourt,w_shot_Direction_down_middle,w_shot_Direction_down_the_line,w_shot_Direction_inside_out,w_shot_Direction_inside_in,l_winners_fh,l_winners_bh,l_unforced_fh,l_unforced_bh,l_return_pts_faced,l_return_pts_won,l_return_depth_very_deep,l_return_depth_shallow,l_return_depth_deep,l_return_depth_err_net,l_return_depth_err_deep,l_return_depth_err_wide,l_return_depth_wide_deep,l_shot_Direction_crosscourt,l_shot_Direction_down_middle,l_shot_Direction_down_the_line,l_shot_Direction_inside_out,l_shot_Direction_inside_in,label
0,32,7324.0,2007-352,Paris Masters,Hard,48.0,M,20071028.0,47.0,103900.0,,,David Nalbandian,R,180.0,ARG,25.8,104745.0,2.0,,Rafael Nadal,L,185.0,ESP,21.4,6-4 6-0,3.0,F,70.0,5.0,0.0,41.0,24.0,21.0,13.0,8.0,0.0,0.0,1.0,1.0,47.0,31.0,21.0,3.0,8.0,2.0,6.0,21.0,1375.0,2.0,5385.0,20071028-M-Paris_Masters-F-Rafael_Nadal-David_Nalbandian,15.0,4.0,3.0,11.0,47.0,23.0,14.0,12.0,27.0,0.0,0.0,1.0,0.0,79.0,26.0,19.0,19.0,0.0,3.0,1.0,4.0,7.0,41.0,7.0,7.0,13.0,17.0,0.0,1.0,0.0,0.0,65,29,22,17,2,0.0
1,56,17728.0,2010-540,Wimbledon,Grass,128.0,G,20100621.0,127.0,104745.0,2.0,,Rafael Nadal,L,185.0,ESP,24.0,104607.0,12.0,,Tomas Berdych,R,196.0,CZE,24.7,6-3 7-5 6-4,5.0,F,133.0,5.0,3.0,90.0,62.0,48.0,18.0,15.0,4.0,4.0,13.0,0.0,81.0,48.0,35.0,19.0,16.0,2.0,6.0,1.0,8745.0,13.0,2825.0,20100704-M-Wimbledon-F-Tomas_Berdych-Rafael_Nadal,20.0,3.0,13.0,14.0,81.0,27.0,8.0,16.0,39.0,1.0,2.0,2.0,0.0,78.0,49.0,41.0,28.0,8.0,11.0,3.0,17.0,6.0,90.0,24.0,7.0,17.0,39.0,0.0,1.0,0.0,0.0,77,45,21,34,4,0.0
2,62,19594.0,2011-495,Dubai,Hard,32.0,A,20110221.0,31.0,104925.0,2.0,,Novak Djokovic,R,188.0,SRB,23.7,103819.0,1.0,,Roger Federer,R,185.0,SUI,29.5,6-3 6-3,3.0,F,72.0,5.0,0.0,49.0,33.0,27.0,9.0,9.0,1.0,2.0,5.0,1.0,58.0,35.0,22.0,9.0,9.0,6.0,10.0,3.0,7880.0,2.0,7965.0,20110221-M-Dubai-F-Roger_Federer-Novak_Djokovic,3.0,1.0,3.0,7.0,58.0,27.0,13.0,9.0,30.0,0.0,1.0,0.0,0.0,52.0,38.0,8.0,23.0,3.0,9.0,3.0,15.0,11.0,49.0,13.0,12.0,7.0,22.0,0.0,1.0,0.0,0.0,55,34,15,30,3,0.0
3,70,20454.0,2011-520,Roland Garros,Clay,128.0,G,20110522.0,127.0,104745.0,1.0,,Rafael Nadal,L,185.0,ESP,24.9,103819.0,3.0,,Roger Federer,R,185.0,SUI,29.7,7-5 7-6(3) 5-7 6-1,5.0,F,220.0,4.0,3.0,147.0,106.0,69.0,21.0,22.0,10.0,15.0,11.0,1.0,126.0,80.0,55.0,18.0,21.0,8.0,15.0,1.0,12070.0,3.0,8390.0,20110605-M-Roland_Garros-F-Roger_Federer-Rafael_Nadal,23.0,10.0,19.0,15.0,126.0,53.0,8.0,30.0,66.0,2.0,0.0,1.0,0.0,205.0,121.0,49.0,40.0,7.0,26.0,14.0,27.0,27.0,147.0,57.0,13.0,19.0,91.0,1.0,3.0,2.0,0.0,163,104,56,63,8,0.0
4,93,23135.0,2012-410,Monte Carlo Masters,Clay,56.0,M,20120415.0,55.0,104745.0,2.0,,Rafael Nadal,L,185.0,ESP,25.8,104925.0,1.0,,Novak Djokovic,R,188.0,SRB,24.9,6-3 6-1,3.0,F,79.0,3.0,1.0,38.0,26.0,22.0,6.0,8.0,0.0,1.0,0.0,0.0,48.0,30.0,12.0,10.0,8.0,3.0,8.0,2.0,9215.0,1.0,12670.0,20120422-M-Monte_Carlo_Masters-F-Novak_Djokovic-Rafael_Nadal,8.0,4.0,6.0,4.0,48.0,26.0,12.0,13.0,33.0,1.0,1.0,0.0,0.0,60.0,71.0,16.0,33.0,3.0,7.0,4.0,13.0,9.0,38.0,10.0,7.0,6.0,19.0,0.0,1.0,0.0,0.0,63,66,20,46,4,0.0
5,96,23406.0,2012-416,Rome Masters,Clay,56.0,M,20120513.0,53.0,104925.0,1.0,,Novak Djokovic,R,188.0,SRB,24.9,103819.0,3.0,,Roger Federer,R,185.0,SUI,30.7,6-2 7-6(4),3.0,SF,100.0,1.0,1.0,66.0,38.0,31.0,16.0,10.0,0.0,1.0,6.0,0.0,65.0,32.0,25.0,16.0,10.0,3.0,6.0,1.0,11200.0,2.0,9430.0,20120519-M-Rome_Masters-SF-Roger_Federer-Novak_Djokovic,9.0,3.0,6.0,10.0,65.0,24.0,11.0,6.0,42.0,1.0,2.0,0.0,0.0,89.0,56.0,17.0,29.0,6.0,14.0,2.0,16.0,23.0,66.0,19.0,14.0,10.0,40.0,2.0,2.0,0.0,0.0,95,62,17,31,3,0.0
6,107,24303.0,2012-422,Cincinnati Masters,Hard,56.0,M,20120812.0,55.0,103819.0,1.0,,Roger Federer,R,185.0,SUI,31.0,104925.0,2.0,,Novak Djokovic,R,188.0,SRB,25.2,6-0 7-6(7),3.0,F,80.0,8.0,1.0,56.0,33.0,27.0,15.0,9.0,0.0,0.0,2.0,5.0,61.0,35.0,23.0,13.0,9.0,1.0,4.0,1.0,11345.0,2.0,11270.0,20120818-M-Cincinnati_Masters-F-Novak_Djokovic-Roger_Federer,14.0,4.0,10.0,6.0,61.0,25.0,24.0,5.0,36.0,0.0,0.0,0.0,0.0,68.0,27.0,16.0,25.0,1.0,7.0,2.0,9.0,8.0,56.0,14.0,15.0,7.0,29.0,0.0,0.0,0.0,0.0,61,53,12,16,2,0.0
7,118,24980.0,2012-605,Tour Finals,Hard,8.0,F,20121105.0,515.0,104925.0,1.0,,Novak Djokovic,R,188.0,SRB,25.4,103819.0,2.0,,Roger Federer,R,185.0,SUI,31.2,7-6(6) 7-5,3.0,F,135.0,6.0,2.0,98.0,68.0,43.0,14.0,12.0,4.0,7.0,8.0,2.0,93.0,57.0,35.0,19.0,12.0,3.0,7.0,1.0,11420.0,2.0,9465.0,20121112-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,7.0,4.0,9.0,18.0,93.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,96.0,34.0,39.0,3.0,12.0,8.0,20.0,14.0,98.0,41.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,137,96,36,51,4,0.0
8,119,24999.0,2013-339,Brisbane,Hard,28.0,A,20121230.0,15.0,105238.0,4.0,,Alexandr Dolgopolov,R,180.0,UKR,24.1,103813.0,,,Jarkko Nieminen,L,185.0,FIN,31.4,6-2 4-1 RET,3.0,R16,54.0,6.0,0.0,36.0,22.0,17.0,10.0,6.0,0.0,0.0,0.0,1.0,43.0,28.0,12.0,7.0,7.0,5.0,9.0,18.0,1855.0,41.0,927.0,20130102-M-Brisbane-R16-Jarkko_Nieminen-Alexandr_Dolgopolov,13.0,1.0,8.0,4.0,43.0,24.0,20.0,6.0,31.0,1.0,1.0,0.0,0.0,69.0,17.0,29.0,11.0,0.0,5.0,1.0,8.0,11.0,36.0,9.0,8.0,4.0,16.0,3.0,1.0,1.0,0.0,69,28,22,12,3,0.0
9,135,26124.0,2013-410,Monte Carlo Masters,Clay,56.0,M,20130414.0,48.0,104527.0,13.0,,Stan Wawrinka,R,183.0,SUI,28.0,104918.0,2.0,,Andy Murray,R,190.0,GBR,25.9,6-1 6-2,3.0,R16,58.0,5.0,0.0,40.0,26.0,21.0,9.0,7.0,2.0,2.0,0.0,2.0,47.0,27.0,13.0,8.0,8.0,5.0,10.0,17.0,2005.0,2.0,8750.0,20130417-M-Monte_Carlo_Masters-R16-Andy_Murray-Stan_Wawrinka,10.0,7.0,9.0,6.0,47.0,26.0,12.0,7.0,32.0,0.0,1.0,1.0,0.0,79.0,20.0,26.0,14.0,3.0,6.0,2.0,13.0,6.0,40.0,10.0,8.0,8.0,17.0,0.0,1.0,0.0,0.0,73,24,24,24,4,0.0
10,138,26300.0,2013-1536,Madrid Masters,Clay,56.0,M,20130505.0,41.0,104527.0,15.0,,Stan Wawrinka,R,183.0,SUI,28.1,105777.0,,,Grigor Dimitrov,R,188.0,BUL,21.9,3-6 6-4 6-1,3.0,R16,102.0,3.0,3.0,87.0,62.0,42.0,14.0,13.0,2.0,4.0,4.0,1.0,74.0,50.0,33.0,12.0,13.0,3.0,7.0,15.0,2165.0,28.0,1272.0,20130509-M-Madrid_Masters-R16-Grigor_Dimitrov-Stan_Wawrinka,15.0,2.0,14.0,12.0,74.0,29.0,11.0,11.0,41.0,0.0,1.0,0.0,0.0,111.0,38.0,48.0,35.0,4.0,10.0,4.0,14.0,13.0,87.0,31.0,16.0,15.0,43.0,2.0,1.0,1.0,0.0,112,49,35,23,11,0.0
11,149,27135.0,2013-421,Canada Masters,Hard,56.0,M,20130805.0,4.0,105453.0,9.0,,Kei Nishikori,R,178.0,JPN,23.6,105166.0,,Q,Peter Polansky,R,180.0,CAN,25.1,4-6 6-4 6-2,3.0,R64,121.0,4.0,5.0,85.0,45.0,29.0,19.0,14.0,5.0,10.0,0.0,6.0,82.0,42.0,26.0,16.0,14.0,5.0,12.0,11.0,2405.0,256.0,178.0,20130805-M-Canada_Masters-R64-Peter_Polansky-Kei_Nishikori,14.0,8.0,26.0,16.0,82.0,40.0,17.0,15.0,47.0,2.0,2.0,0.0,1.0,155.0,53.0,23.0,46.0,5.0,11.0,2.0,17.0,15.0,85.0,37.0,10.0,13.0,49.0,2.0,1.0,0.0,0.0,114,87,40,25,9,0.0
12,156,27685.0,2013-5014,Shanghai Masters,Hard,56.0,M,20131007.0,25.0,104925.0,1.0,,Novak Djokovic,R,188.0,SRB,26.3,104719.0,,,Marcel Granollers,R,190.0,ESP,27.4,6-2 6-0,3.0,R32,71.0,6.0,2.0,45.0,26.0,21.0,10.0,7.0,3.0,3.0,0.0,4.0,47.0,23.0,11.0,9.0,7.0,5.0,10.0,2.0,11120.0,36.0,1110.0,20131007-M-Shanghai_Masters-R32-Marcel_Granollers-Novak_Djokovic,8.0,10.0,10.0,4.0,47.0,27.0,13.0,7.0,29.0,0.0,0.0,0.0,0.0,52.0,25.0,29.0,24.0,5.0,5.0,2.0,11.0,6.0,45.0,14.0,8.0,8.0,21.0,1.0,0.0,0.0,0.0,71,45,16,5,0,0.0
13,176,27976.0,2014-891,Chennai,Hard,28.0,A,20131230.0,21.0,104527.0,1.0,,Stan Wawrinka,R,183.0,SUI,28.7,105379.0,,,Aljaz Bedene,R,181.0,SLO,24.4,6-2 6-1,3.0,QF,66.0,4.0,4.0,54.0,32.0,20.0,10.0,7.0,5.0,7.0,3.0,4.0,52.0,23.0,9.0,11.0,8.0,4.0,11.0,8.0,3730.0,95.0,573.0,20140103-M-Chennai-QF-Aljaz_Bedene-Stan_Wawrinka,5.0,14.0,9.0,13.0,52.0,32.0,10.0,11.0,26.0,2.0,3.0,1.0,0.0,47.0,20.0,18.0,20.0,1.0,7.0,0.0,19.0,9.0,54.0,24.0,12.0,4.0,32.0,3.0,3.0,0.0,0.0,37,38,8,17,3,0.0
14,177,28011.0,2014-451,Doha,Hard,32.0,A,20131230.0,29.0,104745.0,1.0,,Rafael Nadal,L,185.0,ESP,27.5,105376.0,,Q,Peter Gojowczyk,R,185.0,GER,24.4,4-6 6-2 6-3,3.0,SF,120.0,5.0,2.0,72.0,46.0,35.0,11.0,13.0,1.0,4.0,1.0,4.0,84.0,46.0,29.0,17.0,14.0,10.0,16.0,1.0,13030.0,162.0,321.0,20140103-M-Doha-SF-Peter_Gojowczyk-Rafael_Nadal,17.0,4.0,18.0,11.0,84.0,38.0,21.0,18.0,53.0,0.0,1.0,2.0,0.0,107.0,74.0,46.0,25.0,5.0,10.0,3.0,16.0,12.0,72.0,26.0,20.0,12.0,41.0,0.0,0.0,0.0,0.0,131,59,40,37,3,0.0
15,189,28068.0,2014-580,Australian Open,Hard,128.0,G,20140113.0,1.0,104745.0,1.0,,Rafael Nadal,L,185.0,ESP,27.6,106071.0,,,Bernard Tomic,R,193.0,AUS,21.2,6-4 RET,5.0,R128,41.0,5.0,1.0,26.0,16.0,14.0,6.0,5.0,0.0,0.0,3.0,1.0,28.0,19.0,15.0,3.0,5.0,0.0,1.0,1.0,13130.0,57.0,810.0,20140113-M-Australian_Open-R128-Bernard_Tomic-Rafael_Nadal,7.0,1.0,1.0,2.0,28.0,10.0,4.0,6.0,13.0,0.0,0.0,0.0,0.0,18.0,16.0,2.0,10.0,1.0,7.0,2.0,3.0,2.0,26.0,6.0,5.0,2.0,16.0,0.0,0.0,0.0,0.0,12,23,7,11,1,0.0
16,200,28561.0,2014-6932,Rio de Janeiro,Clay,32.0,A,20140217.0,17.0,104745.0,1.0,,Rafael Nadal,L,185.0,ESP,27.7,103656.0,,,Albert Montanes,R,175.0,ESP,33.2,6-1 6-2,3.0,R16,75.0,0.0,2.0,51.0,33.0,21.0,10.0,7.0,2.0,3.0,0.0,4.0,57.0,36.0,16.0,7.0,8.0,4.0,10.0,1.0,14085.0,72.0,701.0,20140220-M-Rio_de_Janeiro-R16-Albert_Montanes-Rafael_Nadal,13.0,6.0,6.0,4.0,57.0,34.0,20.0,14.0,36.0,0.0,0.0,0.0,0.0,72.0,32.0,27.0,25.0,6.0,12.0,1.0,10.0,6.0,51.0,20.0,20.0,11.0,34.0,1.0,0.0,0.0,0.0,49,38,28,26,18,0.0
17,209,28792.0,2014-403,Miami Masters,Hard,96.0,M,20140319.0,33.0,104745.0,1.0,,Rafael Nadal,L,185.0,ESP,27.7,103720.0,,,Lleyton Hewitt,R,180.0,AUS,33.0,6-1 6-3,3.0,R64,69.0,1.0,0.0,40.0,25.0,20.0,13.0,8.0,0.0,0.0,3.0,0.0,50.0,37.0,19.0,7.0,8.0,1.0,5.0,1.0,13130.0,44.0,1000.0,20140322-M-Miami_Masters-R64-Lleyton_Hewitt-Rafael_Nadal,13.0,1.0,6.0,6.0,50.0,24.0,11.0,12.0,29.0,0.0,0.0,0.0,1.0,24.0,35.0,5.0,85.0,21.0,7.0,1.0,11.0,14.0,40.0,7.0,10.0,16.0,16.0,3.0,0.0,0.0,0.0,69,58,19,17,7,0.0
18,218,29048.0,2014-410,Monte Carlo Masters,Clay,56.0,M,20140413.0,41.0,104745.0,1.0,,Rafael Nadal,L,185.0,ESP,27.8,104312.0,,,Andreas Seppi,R,190.0,ITA,30.1,6-1 6-3,3.0,R16,74.0,2.0,2.0,45.0,29.0,24.0,7.0,8.0,5.0,6.0,1.0,0.0,49.0,27.0,15.0,7.0,8.0,0.0,5.0,1.0,13730.0,35.0,1150.0,20140417-M-Monte_Carlo_Masters-R16-Andreas_Seppi-Rafael_Nadal,17.0,0.0,10.0,9.0,49.0,27.0,12.0,14.0,31.0,0.0,2.0,0.0,0.0,80.0,27.0,30.0,29.0,6.0,4.0,3.0,12.0,9.0,45.0,14.0,14.0,13.0,27.0,0.0,0.0,0.0,0.0,77,47,16,15,3,0.0
19,221,29095.0,2014-425,Barcelona,Clay,48.0,A,20140421.0,33.0,104745.0,1.0,,Rafael Nadal,L,185.0,ESP,27.8,104471.0,,,Ivan Dodig,R,183.0,CRO,29.2,6-3 6-3,3.0,R16,84.0,1.0,0.0,48.0,36.0,25.0,9.0,9.0,0.0,1.0,5.0,3.0,57.0,32.0,21.0,9.0,9.0,4.0,8.0,1.0,13310.0,37.0,1110.0,20140424-M-Barcelona-R16-Ivan_Dodig-Rafael_Nadal,10.0,2.0,9.0,6.0,57.0,27.0,18.0,6.0,31.0,0.0,0.0,0.0,0.0,102.0,33.0,16.0,36.0,8.0,5.0,2.0,11.0,8.0,48.0,14.0,16.0,9.0,33.0,0.0,0.0,0.0,0.0,72,63,29,8,3,0.0
20,230,29274.0,2014-416,Rome Masters,Clay,56.0,M,20140511.0,25.0,104745.0,1.0,,Rafael Nadal,L,185.0,ESP,27.9,104468.0,,,Gilles Simon,R,183.0,FRA,29.3,7-6(1) 6-7(4) 6-2,3.0,R32,199.0,4.0,2.0,109.0,86.0,53.0,13.0,16.0,6.0,10.0,7.0,1.0,132.0,78.0,49.0,24.0,16.0,7.0,13.0,1.0,12900.0,30.0,1225.0,20140514-M-Rome_Masters-R32-Gilles_Simon-Rafael_Nadal,24.0,4.0,18.0,11.0,132.0,59.0,46.0,32.0,84.0,2.0,0.0,0.0,0.0,258.0,111.0,74.0,103.0,20.0,32.0,10.0,30.0,29.0,109.0,43.0,61.0,17.0,82.0,0.0,1.0,0.0,0.0,237,172,98,75,9,0.0
21,258,29817.0,2014-321,Stuttgart,Clay,28.0,A,20140707.0,7.0,104259.0,5.0,,Philipp Kohlschreiber,R,178.0,GER,30.7,105526.0,,,Jan Lennard Struff,R,193.0,GER,24.1,6-4 6-3,3.0,R32,74.0,2.0,1.0,64.0,37.0,24.0,16.0,9.0,4.0,5.0,0.0,4.0,65.0,38.0,24.0,12.0,10.0,5.0,9.0,26.0,1475.0,71.0,706.0,20140710-M-Stuttgart-R32-Jan_Lennard_Struff-Philipp_Kohlschreiber,9.0,6.0,11.0,15.0,65.0,29.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,61.0,25.0,14.0,20.0,7.0,12.0,4.0,18.0,16.0,64.0,24.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,61,40,22,18,3,0.0
22,287,31168.0,2015-2276,Zagreb,Hard,28.0,A,20150202.0,19.0,104719.0,8.0,,Marcel Granollers,R,190.0,ESP,28.8,104471.0,,,Ivan Dodig,R,183.0,CRO,30.0,7-6(8) 4-6 6-3,3.0,R16,148.0,8.0,1.0,105.0,54.0,42.0,32.0,16.0,7.0,8.0,12.0,2.0,95.0,54.0,44.0,22.0,15.0,4.0,5.0,55.0,825.0,86.0,610.0,20150205-M-Zagreb-R16-Ivan_Dodig-Marcel_Granollers,9.0,12.0,9.0,21.0,95.0,29.0,0.0,0.0,0.0,5.0,6.0,1.0,0.0,119.0,89.0,21.0,20.0,1.0,19.0,11.0,24.0,20.0,105.0,31.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,108,55,34,45,5,0.0
23,296,31295.0,2015-496,Marseille,Hard,28.0,A,20150216.0,3.0,104792.0,7.0,,Gael Monfils,R,193.0,FRA,28.4,100644.0,,Q,Alexander Zverev,R,198.0,GER,17.8,6-1 7-6(12),3.0,R32,86.0,6.0,2.0,54.0,29.0,25.0,12.0,9.0,0.0,2.0,2.0,1.0,69.0,41.0,29.0,10.0,10.0,5.0,10.0,21.0,1635.0,138.0,395.0,20150217-M-Marseille-R32-Alexander_Zverev-Gael_Monfils,9.0,6.0,10.0,12.0,69.0,30.0,21.0,8.0,48.0,0.0,0.0,0.0,0.0,80.0,47.0,16.0,29.0,2.0,7.0,5.0,10.0,11.0,54.0,17.0,8.0,9.0,25.0,1.0,0.0,0.0,0.0,86,57,18,23,3,0.0
24,300,31317.0,2015-496,Marseille,Hard,28.0,A,20150216.0,25.0,104792.0,7.0,,Gael Monfils,R,193.0,FRA,28.4,105138.0,4.0,,Roberto Bautista Agut,R,183.0,ESP,26.8,6-4 6-2,3.0,SF,65.0,9.0,1.0,49.0,32.0,24.0,10.0,9.0,4.0,5.0,1.0,2.0,49.0,25.0,18.0,9.0,9.0,1.0,5.0,21.0,1635.0,16.0,1975.0,20150221-M-Marseille-SF-Roberto_Bautista_Agut-Gael_Monfils,9.0,7.0,5.0,5.0,49.0,22.0,19.0,8.0,34.0,0.0,0.0,0.0,0.0,65.0,48.0,10.0,13.0,0.0,13.0,3.0,7.0,6.0,49.0,15.0,7.0,12.0,18.0,0.0,0.0,0.0,0.0,60,32,19,33,6,0.0
25,307,31577.0,2015-404,Indian Wells Masters,Hard,96.0,M,20150312.0,7.0,106432.0,,Q,Borna Coric,R,188.0,CRO,18.3,104890.0,,,Andreas Haider Maurer,R,190.0,AUT,27.9,6-4 6-4,3.0,R128,86.0,5.0,1.0,53.0,34.0,29.0,12.0,10.0,2.0,2.0,1.0,2.0,58.0,26.0,18.0,16.0,10.0,4.0,6.0,60.0,796.0,56.0,863.0,20150312-M-Indian_Wells_Masters-R128-Andreas_Haider_Maurer-Borna_Coric,7.0,1.0,10.0,6.0,58.0,24.0,16.0,7.0,34.0,0.0,0.0,0.0,0.0,83.0,56.0,12.0,32.0,3.0,4.0,4.0,17.0,8.0,53.0,12.0,15.0,6.0,24.0,0.0,1.0,0.0,0.0,73,70,15,30,1,0.0
26,313,31662.0,2015-404,Indian Wells Masters,Hard,96.0,M,20150312.0,92.0,103819.0,2.0,,Roger Federer,R,185.0,SUI,33.5,104607.0,9.0,,Tomas Berdych,R,196.0,CZE,29.4,6-4 6-0,3.0,QF,69.0,1.0,1.0,40.0,26.0,23.0,9.0,8.0,0.0,0.0,2.0,5.0,57.0,26.0,16.0,12.0,8.0,4.0,8.0,2.0,9205.0,9.0,4340.0,20150320-M-Indian_Wells_Masters-QF-Tomas_Berdych-Roger_Federer,17.0,3.0,6.0,5.0,57.0,29.0,24.0,9.0,32.0,0.0,0.0,0.0,0.0,33.0,27.0,17.0,18.0,8.0,7.0,0.0,8.0,7.0,40.0,8.0,8.0,9.0,15.0,0.0,0.0,0.0,0.0,48,13,9,36,2,0.0
27,331,31828.0,2015-410,Monte Carlo Masters,Clay,56.0,M,20150412.0,14.0,104259.0,,,Philipp Kohlschreiber,R,178.0,GER,31.4,105062.0,,,Mikhail Kukushkin,R,183.0,KAZ,27.2,6-4 6-4,3.0,R64,76.0,3.0,0.0,53.0,34.0,24.0,9.0,10.0,1.0,4.0,2.0,4.0,60.0,31.0,20.0,9.0,10.0,3.0,8.0,25.0,1395.0,53.0,867.0,20150413-M-Monte_Carlo_Masters-R64-Mikhail_Kukushkin-Philipp_Kohlschreiber,5.0,4.0,11.0,7.0,60.0,31.0,19.0,6.0,34.0,0.0,1.0,0.0,0.0,66.0,43.0,11.0,31.0,2.0,6.0,4.0,10.0,16.0,53.0,20.0,22.0,5.0,34.0,1.0,1.0,0.0,0.0,58,54,26,19,2,0.0
28,332,31821.0,2015-410,Monte Carlo Masters,Clay,56.0,M,20150412.0,7.0,106298.0,,WC,Lucas Pouille,R,185.0,FRA,21.1,106233.0,,,Dominic Thiem,R,185.0,AUT,21.6,6-4 6-4,3.0,R64,84.0,2.0,5.0,63.0,27.0,17.0,17.0,10.0,6.0,10.0,3.0,1.0,63.0,32.0,17.0,14.0,10.0,6.0,12.0,108.0,515.0,44.0,1030.0,20150414-M-Monte_Carlo_Masters-R64-Dominic_Thiem-Lucas_Pouille,12.0,3.0,13.0,11.0,63.0,32.0,14.0,12.0,41.0,0.0,0.0,2.0,0.0,82.0,30.0,23.0,19.0,12.0,10.0,4.0,20.0,10.0,63.0,29.0,14.0,11.0,34.0,0.0,1.0,0.0,1.0,83,27,17,33,10,0.0
29,336,31864.0,2015-410,Monte Carlo Masters,Clay,56.0,M,20150412.0,50.0,104745.0,3.0,,Rafael Nadal,L,185.0,ESP,28.8,103970.0,5.0,,David Ferrer,R,175.0,ESP,33.0,6-4 5-7 6-2,3.0,QF,165.0,0.0,2.0,99.0,73.0,44.0,14.0,15.0,3.0,7.0,1.0,4.0,99.0,62.0,36.0,16.0,15.0,4.0,10.0,5.0,5255.0,7.0,4670.0,20150417-M-Monte_Carlo_Masters-QF-David_Ferrer-Rafael_Nadal,18.0,5.0,9.0,20.0,99.0,47.0,20.0,24.0,62.0,0.0,2.0,0.0,0.0,185.0,46.0,104.0,46.0,18.0,20.0,10.0,28.0,13.0,99.0,41.0,35.0,16.0,66.0,2.0,2.0,0.0,0.0,228,39,92,40,23,0.0
